"";"date";"julian_days";"year";"trip_number";"tag_id";"fork_length_mm";"weight_g";"latitude";"longitude"
"101";2021-07-28;209;2021;4;23;140;30,5;41,53292;-118,99077
"102";2021-07-28;209;2021;4;24;214;115,1;41,51328;-118,9861
"103";2021-07-28;209;2021;4;39;164;48,8;41,53207;-118,99332
"104";2021-07-27;208;2021;4;20;128;24,7;41,54122;-119,00478
"105";2021-07-27;208;2021;4;25;225;118,7;41,54094;-119,00444
"106";2021-07-27;208;2021;4;28;197;80,7;41,53237;-118,99585
"107";2021-07-27;208;2021;4;33;142;32,1;41,54102;-119,00459
"108";2021-07-27;208;2021;4;36;216;113,5;41,54302;-119,00676
"109";2021-08-13;225;2021;5;13;190;58,5;41,50872;-118,98218
"110";2021-08-13;225;2021;5;15;135;29,6;41,503;-118,97902
"111";2021-08-13;225;2021;5;18;177;57,1;41,50281;-118,97886
"112";2021-08-13;225;2021;5;21;204;90,8;41,51201;-118,98544
"113";2021-08-12;224;2021;5;17;138;30,4;41,51582;-118,95726
"114";2021-08-12;224;2021;5;25;225;118,7;41,54094;-119,00442
"115";2021-08-12;224;2021;5;33;142;32,1;41,54101;-119,00461
"116";2021-08-12;224;2021;5;34;178;60,7;41,54153;-119,00526
"117";2021-08-12;224;2021;5;36;216;113,5;41,54302;-119,00676
"118";2021-08-12;224;2021;5;40;128;22,7;41,54123;-119,00474
"119";2021-08-19;231;2021;6;17;138;30,4;41,51582;-118,95726
"120";2021-08-18;230;2021;6;13;190;58,5;41,50911;-118,9827
"121";2021-08-18;230;2021;6;15;135;29,6;41,50306;-118,97903
"122";2021-08-18;230;2021;6;21;204;90,8;41,51201;-118,98544
"123";2021-08-17;229;2021;6;25;225;118,7;41,54091;-119,00429
"124";2021-08-17;229;2021;6;33;142;32,1;41,54316;-119,00701
"125";2021-08-17;229;2021;6;36;216;113,5;41,54308;-119,00669
"126";2021-09-05;248;2021;7;17;138;30,4;41,51582;-118,95726
"127";2021-09-05;248;2021;7;25;225;118,7;41,541;-119,00455
"128";2021-09-05;248;2021;7;34;178;60,7;41,54156;-119,00527
"129";2021-09-04;247;2021;7;13;190;58,5;41,51031;-118,98336
"130";2021-09-04;247;2021;7;15;135;29,6;41,50297;-118,97899
